name,voltage_kv,lat,lng,owner,location,google_maps,include
Binaguri 400 kV,400,26.6502881,88.4661238,POWERGRID,"Binaguri / Balaram, Jalpaiguri","https://www.google.com/maps?q=26.6502881,88.4661238",yes
NJP 220 kV,220,26.6537815,88.4673508,WBSETCL,"Balaram, Jalpaiguri 735135","https://www.google.com/maps?q=26.6537815,88.4673508",yes
Siliguri 220 kV,220,26.6763164,88.4196828,POWERGRID,Siliguri POWERGRID / New Siliguri,"https://www.google.com/maps?q=26.6763164,88.4196828",yes
Siliguri 132 kV,132,26.7386951,88.4404003,WBSETCL,Siliguri Town,"https://www.google.com/maps?q=26.7386951,88.4404003",yes
Ujanu 132 kV,132,26.7333179,88.4034623,WBSETCL,Champasari / Pradhan Nagar,"https://www.google.com/maps?q=26.7333179,88.4034623",yes
NBU 132 kV,132,26.7130701,88.3641353,WBSETCL,New Rangia / NBU,"https://www.google.com/maps?q=26.7130701,88.3641353",yes
Darjeeling 132 kV,132,27.0624172,88.2765017,WBSETCL,"Lebong, Darjeeling","https://www.google.com/maps?q=27.0624172,88.2765017",yes
Kurseong 132 kV,132,26.8995144,88.247798,WBSETCL,Kurseong,"https://www.google.com/maps?q=26.8995144,88.247798",yes
Chalsa 132 kV,132,26.8754289,88.8041941,WBSETCL,Chalsa Jalpaiguri AO,"https://www.google.com/maps?q=26.8754289,88.8041941",yes
Maynaguri 132 kV,132,26.5708756,88.8142596,WBSETCL,Maynaguri,"https://www.google.com/maps?q=26.5708756,88.8142596",yes
Birpara 220 kV,220,26.7050713,89.1507246,POWERGRID,Birpara,"https://www.google.com/maps?q=26.7050713,89.1507246",yes
Falakata 220 kV,220,26.563535,89.1900295,WBSETCL,Falakata,"https://www.google.com/maps?q=26.563535,89.1900295",yes
Malda 400 kV,400,25.0220242,88.0809369,POWERGRID,"Shyampur / Jhaljhalia, Malda","https://www.google.com/maps?q=25.0220242,88.0809369",yes
Malda 132 kV,132,25.0053016,88.1237412,WBSETCL,"Ghorapir More, Malda 732101","https://www.google.com/maps?q=25.0053016,88.1237412",yes
Gazole 220 kV,220,25.1504987,88.1594642,WBSETCL,Gazole 220 kV GIS Malda,"https://www.google.com/maps?q=25.1504987,88.1594642",yes
Samsi 132 kV,132,25.2917025,88.0132212,WBSETCL,Samsi Malda,"https://www.google.com/maps?q=25.2917025,88.0132212",yes
Khejuria 132 kV,132,24.8071195,87.944444,WBSETCL,Khejuria GIS Malda,"https://www.google.com/maps?q=24.8071195,87.944444",yes
Harishchandrapur 132 kV,132,25.4256891,87.8777933,WBSETCL,Harishchandrapur GIS Malda,"https://www.google.com/maps?q=25.4256891,87.8777933",yes
Dalkhola PG 220 kV,220,25.8833452,87.8270409,POWERGRID,Dalkhola POWERGRID Uttar Dinajpur,"https://www.google.com/maps?q=25.8833452,87.8270409",yes
Dalkhola 220 kV,220,25.8858257,87.827174,WBSETCL,Dalkhola WBSETCL Uttar Dinajpur,"https://www.google.com/maps?q=25.8858257,87.827174",yes
Raiganj 132 kV,132,25.6363601,88.1246058,WBSETCL,Sudarshanpur Raiganj,"https://www.google.com/maps?q=25.6363601,88.1246058",yes
Islampur 132 kV,132,26.1967285,88.1083769,WBSETCL,"Dhantola NH 27, Islampur","https://www.google.com/maps?q=26.1967285,88.1083769",yes
Gangarampur 132 kV,132,25.3975,88.558056,WBSETCL,Gangarampur Dakshin Dinajpur,"https://www.google.com/maps?q=25.3975,88.558056",yes
Balurghat 132 kV,132,25.2449667,88.7858167,WBSETCL,"Mahinagar / Beltala Park, Balurghat","https://www.google.com/maps?q=25.2449667,88.7858167",yes
Cooch Behar 132 kV,132,26.3458,89.4485,WBSETCL,"Khagrabari, Cooch Behar (approx — VERIFY)","https://www.google.com/maps?q=26.3458,89.4485",yes
Alipurduar 220 kV,220,26.4915,89.527,WBSETCL,"Birpara More, Alipurduar WBSETCL (approx — VERIFY)","https://www.google.com/maps?q=26.4915,89.527",yes
Kamakhyaguri 132 kV,132,26.4762,89.7334,WBSETCL,"Kamakhyaguri, Alipurduar AO (approx — VERIFY)","https://www.google.com/maps?q=26.4762,89.7334",yes
Dinhata 132 kV,132,26.125,89.458,WBSETCL,"Dinhata 132/33 kV GIS (approx toward Falimari — VERIFY)","https://www.google.com/maps?q=26.125,89.458",yes
Mathabhanga 132 kV,132,26.3419,89.2153,WBSETCL,"Mathabhanga 132 kV GIS (approx — VERIFY)","https://www.google.com/maps?q=26.3419,89.2153",yes
Mohitnagar 132 kV,132,26.54259,88.70623,WBSETCL,"Mohitnagar 132 GIS Jalpaiguri (GPV4+2FQ)","https://www.google.com/maps?q=26.54259,88.70623",yes
Birpara 132 kV,132,26.70239,89.15101,WBSETCL,"Birpara 132 WBSETCL (distinct from PG 220)","https://www.google.com/maps?q=26.70239,89.15101",yes
Hamiltonganj 66 kV,66,26.68707,89.42202,WBSETCL,"Hamiltonganj 66 kV (town centroid — VERIFY)","https://www.google.com/maps?q=26.68707,89.42202",yes
Hasimara 66 kV,66,26.73042,89.34984,WBSETCL,"Hasimara 66 kV (town centroid — VERIFY)","https://www.google.com/maps?q=26.73042,89.34984",yes
Banarhat 66 kV,66,26.79898,89.02576,WBSETCL,"Banarhat 66 kV (town centroid — VERIFY)","https://www.google.com/maps?q=26.79898,89.02576",yes
Nagrakata 66 kV,66,26.84651,88.91488,WBSETCL,"Nagrakata 66 kV (town centroid — VERIFY)","https://www.google.com/maps?q=26.84651,88.91488",yes
Odlabari 66 kV,66,26.86469,88.62365,WBSETCL,"Odlabari 66 kV (town centroid — VERIFY)","https://www.google.com/maps?q=26.86469,88.62365",yes
Kalimpong 66 kV,66,27.07029,88.47237,WBSETCL,"Kalimpong 66 kV (town centroid — VERIFY)","https://www.google.com/maps?q=27.07029,88.47237",yes
Rangpo 400 kV,400,27.1977965,88.4833154,POWERGRID,"Rangpo, Sikkim","https://www.google.com/maps?q=27.1977965,88.4833154",no
New Melli 220 kV,220,27.1828995,88.320795,POWERGRID,"New Melli, Sikkim","https://www.google.com/maps?q=27.1828995,88.320795",no
Jorethang 220 kV,220,27.1065284,88.3344662,,"Jorethang, Sikkim","https://www.google.com/maps?q=27.1065284,88.3344662",no
